wardId,lat,lng
28683,21.0882406,105.6705801
3083,21.0762457,105.488828
7179,21.1104525,105.8642593
7947,21.0534477,105.6705801
3339,21.003538,105.9523622
22795,21.0169353,105.5650239
30731,21.1253794,105.6148621
13067,20.9891204,105.5210607
26635,20.8119704,105.7321768
27147,20.6909687,105.7526278
15627,21.0617296,105.7057792
29707,20.7265825,105.6940454
17931,20.8764505,105.8877494
29963,20.9681181,105.652983
9227,20.6041258,105.7644596
18699,20.9725044,105.6060661
19467,21.2817183,105.7703287
6667,21.1252454,105.6471178
9483,21.1522787,105.7292491
267,21.2135394,105.4478131
10251,20.6390947,105.6999122
23051,20.9175621,105.8818766
523,20.921933,105.8510475
19723,21.2330984,105.7938069
5899,21.1028706,105.6999122
18955,20.9716211,105.5532993
15371,21.0536507,105.959927
12043,20.9359513,105.6559158
7435,20.7383765,105.9083056
31499,21.1393058,105.5591615
16139,20.780392,105.6764461
8203,21.1612993,105.8172881
30987,21.1108475,105.5532993
29195,20.771361,105.8349009
6155,20.8709577,105.6999122
8971,21.1941985,105.776198
7691,21.2004174,105.4251126
20235,21.0092597,105.6471178
19211,21.2556659,105.8532494
16395,21.0422656,105.6969788
3595,21.1662421,105.3789885
30219,20.8800846,105.7879371
26891,21.0421027,105.6060661
22539,21.0749441,105.5650239
13323,20.8475182,105.7644596
23307,20.9324904,105.8466437
8715,21.125749,105.7644596
6923,21.1545643,105.8877494
27659,21.0233303,105.9876149
22283,20.8270859,105.8583873
5643,20.8686746,105.8627913
9739,21.2147111,105.6823124
6411,20.8331155,105.6705801
19979,21.3213442,105.8407722
30475,20.6954929,105.8407722
29451,20.7790698,105.7527221
23819,20.7230694,105.7938069
11019,21.2010304,105.3950939
8459,21.108576,105.8231588
11787,20.8972092,105.5738179
11275,21.0341701,105.4419546
9995,21.0113421,105.8167945
12299,20.9855777,105.4653897
40972,11.3521506,106.6939803
27404,11.074436,106.4759262
2060,10.5549722,106.8060388
30220,10.8565784,106.5642998
40716,11.16239,106.8532381
33292,11.2853477,106.6173415
38412,10.6970348,107.3730563
1292,10.6694477,106.5996595
39948,10.57921,107.5386809
36364,10.6373183,107.2784615
5644,10.7097708,106.6586052
2316,10.637416,106.7883416
26892,10.7661714,106.5230542
28940,10.9399403,106.635025
29196,10.4413583,106.9004472
36876,10.7294922,107.1839024
35852,10.5801908,107.1366365
28428,10.962533,106.5230542
38668,10.5161104,107.3139304
14604,11.3515917,106.4170311
29452,10.9065528,106.6468148
30732,10.6009892,106.7588494
37644,10.5222945,107.3967105
39692,10.6787414,107.5031811
38156,10.6279317,107.4440254
29708,10.8863934,106.5922924
27148,10.6560078,106.6468148
36620,10.7050987,107.2311774
17932,10.4665758,107.2311774
38924,10.4073721,107.2252675
13068,11.3359256,106.4994889
39436,10.4527333,107.0893798
13324,11.4469986,106.4759262
36108,10.6081062,107.2193578
37388,10.5718057,107.1898113
30476,10.6956633,106.7175669
27916,11.0461163,106.493598
5388,11.2833709,106.8414374
28684,11.0205571,106.5636506
39180,10.442306,107.2784615
15372,11.234789,106.7352584
41228,11.3867387,106.7588494
28172,10.9593528,106.4818167
16652,10.6982573,106.5701927
1804,10.7918094,106.5525145
27660,10.9857505,106.3993658
268,11.2316502,106.4052541
16396,11.2316502,106.4052541
5900,11.0351108,106.8827427
14092,11.3524521,106.5937658
1548,10.8302868,106.5466221
37132,10.6404024,107.3198424
29964,10.8957333,106.5466221
37900,10.5585237,107.4262813
16653,15.963014,107.5505152
22797,15.9842501,107.9842954
14349,15.6550132,107.71625
16397,15.8565613,107.7399345
2829,15.5548811,108.4335393
14861,15.4820572,107.6215321
13069,15.904429,108.1072924
11789,15.8818571,108.1725154
8205,15.6418729,108.273341
16141,15.9097839,107.6452085
23565,15.4413413,108.5106987
9741,15.8428084,108.3623306
10253,15.7833378,108.2021667
12045,15.856198,108.2080973
13325,15.8693992,107.9887402
17421,15.5698183,108.059866
22541,15.9722296,108.1725154
22285,15.9783739,108.0361555
17165,15.8012959,107.3139304
18189,15.536171,107.7873095
15117,15.553015,107.4440254
15373,15.6615534,107.36123
3341,15.4553689,108.214028
14605,15.6952206,107.5031811
9997,15.8449043,108.273341
5645,15.113462,108.1310083
9229,15.7152169,108.058384
525,15.4326325,108.6442835
3085,15.4719868,108.4157357
14093,15.7769924,108.0124469
18701,15.3208456,107.7991545
19213,15.4301861,107.9768875
