so_thu_tu,ten_on_vi_hanh_chinh,tinh_thanh_pho,chu_thich,nam_thanh_lap,dan_so_nguoi,dien_tich_km,mat_o_dan_so_nguoi_km,so_vhc_cap_xa
306,Krông Búk,Đắk Lắk,,1975.0,64859.0,3578.0,181.0,7.0
307,Krông Năng,Đắk Lắk,,1987.0,126366.0,6148.0,206.0,12.0
308,Krông Nô,Đắk Nông,,1987.0,74446.0,8137.0,91.0,12.0
309,Krông Pa,Gia Lai,,1979.0,86416.0,16237.0,53.0,14.0
310,Krông Pắc,Đắk Lắk,,1975.0,194607.0,6258.0,311.0,16.0
311,Kỳ Anh,Hà Tĩnh,thị xã,,82955.0,2822.0,294.0,11.0
312,Kỳ Anh,Hà Tĩnh,,1836.0,121662.0,7596.0,160.0,20.0
313,Kỳ Sơn,Nghệ An,,1961.0,80288.0,20943.0,38.0,21.0
314,La Gi,Bình Thuận,thị xã,,107057.0,1854.0,577.0,9.0
315,Lạc Dương,Lâm Đồng,,1979.0,27956.0,13114.0,21.0,6.0
316,Lạc Sơn,Hòa Bình,,,136652.0,5875.0,233.0,24.0
317,Lạc Thủy,Hòa Bình,,,60393.0,3136.0,193.0,10.0
318,Lai Châu,Lai Châu,thành phố,,42973.0,924.0,465.0,7.0
319,Lai Vung,Đồng Tháp,,1913.0,164240.0,2387.0,688.0,12.0
320,Lắk,Đắk Lắk,,1931.0,69885.0,12560.0,56.0,11.0
321,Lâm Bình,Tuyên Quang,,2011.0,51421.0,9176.0,56.0,10.0
322,Lâm Hà,Lâm Đồng,,1987.0,144436.0,9302.0,155.0,16.0
323,Lâm Thao,Phú Thọ,,,107989.0,984.0,1.097,12.0
324,Lang Chánh,Thanh Hóa,,,49654.0,5856.0,85.0,10.0
